userid,version,sum_gamerounds,retention_1,retention_7,retention_14
5215,guest,13,TRUE,FALSE,FALSE
5286,guest,12,TRUE,FALSE,FALSE
5345,guest,6,FALSE,FALSE,FALSE
5479,guest,25,TRUE,FALSE,FALSE
5550,guest,29,TRUE,FALSE,FALSE
5661,guest,136,TRUE,FALSE,FALSE
5712,guest,105,TRUE,TRUE,TRUE
5920,guest,10,TRUE,FALSE,FALSE
5943,guest,76,FALSE,FALSE,FALSE
6099,guest,138,FALSE,FALSE,FALSE
6123,guest,0,FALSE,FALSE,FALSE
6151,guest,94,TRUE,TRUE,TRUE
6156,guest,1,FALSE,FALSE,FALSE
6492,guest,0,FALSE,FALSE,FALSE
6664,guest,26,TRUE,FALSE,FALSE
6695,guest,127,TRUE,FALSE,FALSE
6833,guest,6,FALSE,FALSE,FALSE
6842,guest,4,FALSE,FALSE,FALSE
6924,guest,21,FALSE,FALSE,FALSE
6930,guest,297,TRUE,TRUE,FALSE
7124,guest,108,TRUE,TRUE,FALSE
7253,guest,45,TRUE,FALSE,FALSE
7321,guest,33,FALSE,FALSE,FALSE
7509,guest,0,FALSE,FALSE,FALSE
7527,guest,80,FALSE,FALSE,FALSE
7564,guest,21,FALSE,FALSE,FALSE
7582,guest,3,FALSE,FALSE,FALSE
7767,guest,139,TRUE,TRUE,TRUE
7866,guest,14,FALSE,FALSE,FALSE
8063,guest,50,TRUE,FALSE,FALSE
8254,guest,14,FALSE,FALSE,FALSE
8256,guest,14,FALSE,FALSE,FALSE
8288,guest,9,FALSE,FALSE,FALSE
8317,guest,3,FALSE,FALSE,FALSE
8379,guest,0,FALSE,FALSE,FALSE
8464,guest,10,FALSE,FALSE,FALSE
8465,guest,4,FALSE,FALSE,FALSE
8494,guest,5,TRUE,FALSE,FALSE
8644,guest,2,FALSE,FALSE,FALSE
8679,guest,0,FALSE,FALSE,FALSE
8692,guest,3,TRUE,FALSE,FALSE
8753,guest,10,TRUE,FALSE,FALSE
8788,guest,19,FALSE,TRUE,TRUE
8801,guest,0,FALSE,FALSE,FALSE
8885,guest,5,FALSE,FALSE,FALSE
9001,guest,16,TRUE,FALSE,FALSE
9308,guest,95,TRUE,FALSE,FALSE
9443,guest,3,FALSE,FALSE,FALSE
9589,guest,8,FALSE,FALSE,FALSE
9699,guest,8,FALSE,FALSE,FALSE
9828,guest,1,FALSE,FALSE,FALSE
9831,guest,3,FALSE,FALSE,FALSE
9849,guest,1,FALSE,FALSE,FALSE
10112,guest,6,FALSE,FALSE,FALSE
10200,guest,106,FALSE,TRUE,TRUE
10218,guest,22,TRUE,FALSE,FALSE
10276,guest,1,FALSE,FALSE,FALSE
10336,guest,11,FALSE,FALSE,FALSE
10476,guest,4,FALSE,FALSE,FALSE
10533,guest,21,FALSE,FALSE,FALSE
10598,guest,8,FALSE,FALSE,FALSE
10636,guest,246,TRUE,TRUE,TRUE
10637,guest,0,FALSE,FALSE,FALSE
10676,guest,6,FALSE,FALSE,FALSE
10756,guest,16,FALSE,FALSE,FALSE
10884,guest,49,TRUE,FALSE,FALSE
11093,guest,54,TRUE,TRUE,TRUE
11127,guest,66,TRUE,TRUE,TRUE
11297,guest,0,FALSE,FALSE,FALSE
11411,guest,122,TRUE,TRUE,TRUE
11420,guest,75,TRUE,FALSE,FALSE
11599,guest,3,FALSE,FALSE,FALSE
11675,guest,17,FALSE,FALSE,FALSE
11747,guest,1,TRUE,FALSE,FALSE
11840,guest,24,FALSE,FALSE,FALSE
11886,guest,3,FALSE,FALSE,FALSE
12053,guest,11,TRUE,FALSE,FALSE
12067,guest,7,FALSE,FALSE,FALSE
12163,guest,47,TRUE,FALSE,FALSE
12393,guest,1,FALSE,FALSE,FALSE
12461,guest,4,FALSE,FALSE,FALSE
12523,guest,31,TRUE,FALSE,FALSE
12558,guest,13,FALSE,FALSE,FALSE
12574,guest,22,TRUE,FALSE,FALSE
12749,guest,6,TRUE,FALSE,FALSE
12905,guest,1,FALSE,FALSE,FALSE
12951,guest,2,FALSE,FALSE,FALSE
12967,guest,24,TRUE,FALSE,FALSE
12979,guest,6,FALSE,FALSE,FALSE
13133,guest,6,FALSE,FALSE,FALSE
13216,guest,24,TRUE,FALSE,FALSE
13228,guest,9,FALSE,FALSE,FALSE
13320,guest,34,FALSE,FALSE,FALSE
13321,guest,56,FALSE,FALSE,FALSE
13376,guest,12,TRUE,FALSE,FALSE
13429,guest,60,FALSE,TRUE,TRUE
13494,guest,10,TRUE,FALSE,FALSE
13633,guest,67,FALSE,FALSE,FALSE
13664,guest,42,TRUE,TRUE,TRUE
13721,guest,65,TRUE,FALSE,FALSE
13758,guest,1,FALSE,FALSE,FALSE
13806,guest,4,FALSE,FALSE,FALSE
13856,guest,3,FALSE,FALSE,FALSE
13872,guest,1,FALSE,FALSE,FALSE
13893,guest,14,FALSE,FALSE,FALSE
13969,guest,42,FALSE,FALSE,FALSE
14143,guest,13,FALSE,FALSE,FALSE
14218,guest,129,FALSE,TRUE,TRUE
14290,guest,6,TRUE,FALSE,FALSE
14296,guest,37,FALSE,FALSE,FALSE
14381,guest,9,FALSE,FALSE,FALSE
14592,guest,1,FALSE,FALSE,FALSE
14644,guest,2,FALSE,FALSE,FALSE
14834,guest,27,FALSE,FALSE,FALSE
15157,guest,38,FALSE,FALSE,FALSE
15173,guest,8,FALSE,FALSE,FALSE
15294,guest,51,TRUE,TRUE,TRUE
15489,guest,5,FALSE,FALSE,FALSE
15597,guest,2,FALSE,FALSE,FALSE
15962,guest,0,FALSE,FALSE,FALSE
15970,guest,16,TRUE,FALSE,FALSE
16096,guest,0,FALSE,FALSE,FALSE
16145,guest,7,FALSE,FALSE,FALSE
16180,guest,5,FALSE,FALSE,FALSE
16224,guest,0,FALSE,FALSE,FALSE
16454,guest,11,FALSE,FALSE,FALSE
16504,guest,0,FALSE,FALSE,FALSE
16506,guest,4,TRUE,FALSE,FALSE
16638,guest,51,TRUE,FALSE,FALSE
16696,guest,5,FALSE,FALSE,FALSE
17085,guest,33,FALSE,FALSE,FALSE
17167,guest,21,FALSE,FALSE,FALSE
17270,guest,49,TRUE,FALSE,FALSE
17422,guest,2,FALSE,FALSE,FALSE
17461,guest,1,FALSE,FALSE,FALSE
17477,guest,46,TRUE,TRUE,TRUE
17506,guest,127,TRUE,TRUE,TRUE
17554,guest,1,FALSE,FALSE,FALSE
17814,guest,14,FALSE,FALSE,FALSE
17903,guest,17,FALSE,FALSE,FALSE
17947,guest,104,TRUE,TRUE,TRUE
17995,guest,6,FALSE,FALSE,FALSE
18013,guest,21,TRUE,FALSE,FALSE
18213,guest,36,TRUE,FALSE,FALSE
18235,guest,8,FALSE,FALSE,FALSE
18374,guest,53,TRUE,FALSE,FALSE
18731,guest,1,FALSE,FALSE,FALSE
18756,guest,38,TRUE,TRUE,TRUE
18778,guest,13,FALSE,FALSE,FALSE
18827,guest,20,TRUE,FALSE,FALSE
18849,guest,74,TRUE,TRUE,TRUE
18993,guest,25,TRUE,FALSE,FALSE
19077,guest,11,FALSE,FALSE,FALSE
19091,guest,1,FALSE,FALSE,FALSE
19474,guest,2,FALSE,FALSE,FALSE
19490,guest,72,TRUE,FALSE,FALSE
19529,guest,22,FALSE,FALSE,FALSE
19537,guest,2,FALSE,FALSE,FALSE
19593,guest,18,FALSE,FALSE,FALSE
19673,guest,4,FALSE,FALSE,FALSE
19721,guest,18,FALSE,FALSE,FALSE
19728,guest,79,TRUE,TRUE,TRUE
19746,guest,65,FALSE,TRUE,TRUE
19896,guest,13,TRUE,FALSE,FALSE
19993,guest,5,TRUE,FALSE,FALSE
20005,guest,4,FALSE,FALSE,FALSE
20052,guest,8,FALSE,FALSE,FALSE
20136,guest,0,FALSE,FALSE,FALSE
20358,guest,19,FALSE,TRUE,TRUE
20365,guest,6,FALSE,FALSE,FALSE
20465,guest,108,TRUE,FALSE,FALSE
20489,guest,2,FALSE,FALSE,FALSE
20587,guest,26,FALSE,FALSE,FALSE
20591,guest,2,TRUE,FALSE,FALSE
20721,guest,99,FALSE,TRUE,TRUE
20763,guest,10,FALSE,FALSE,FALSE
20790,guest,5,TRUE,FALSE,FALSE
20832,guest,13,TRUE,FALSE,FALSE
20940,guest,1,FALSE,FALSE,FALSE
21072,guest,16,FALSE,FALSE,FALSE
21130,guest,1,FALSE,FALSE,FALSE
21137,guest,91,TRUE,FALSE,FALSE
21228,guest,149,TRUE,TRUE,TRUE
21408,guest,20,TRUE,FALSE,FALSE
21442,guest,68,TRUE,FALSE,FALSE
21755,guest,12,FALSE,TRUE,TRUE
22069,guest,7,FALSE,FALSE,FALSE
22082,guest,3,FALSE,FALSE,FALSE
22167,guest,277,TRUE,TRUE,TRUE
22299,guest,493,TRUE,TRUE,TRUE
22398,guest,4,FALSE,FALSE,FALSE
22486,guest,3,FALSE,FALSE,FALSE
22676,guest,8,FALSE,FALSE,FALSE
22919,guest,1,FALSE,FALSE,FALSE
22935,guest,274,TRUE,TRUE,TRUE
22972,guest,17,FALSE,FALSE,FALSE
23023,guest,32,FALSE,TRUE,TRUE
23026,guest,1,FALSE,FALSE,FALSE
23084,guest,85,TRUE,TRUE,TRUE
23094,guest,12,FALSE,FALSE,FALSE
23126,guest,1,FALSE,FALSE,FALSE
23270,guest,8,FALSE,FALSE,FALSE
23333,guest,9,FALSE,FALSE,FALSE
23374,guest,8,TRUE,FALSE,FALSE
23525,guest,191,TRUE,TRUE,TRUE
23702,guest,115,TRUE,FALSE,FALSE
23748,guest,45,TRUE,FALSE,FALSE
24036,guest,15,FALSE,FALSE,FALSE
24222,guest,134,TRUE,TRUE,TRUE
24302,guest,19,TRUE,FALSE,FALSE
24328,guest,2,FALSE,FALSE,FALSE
24382,guest,22,TRUE,FALSE,FALSE
24397,guest,6,FALSE,FALSE,FALSE
24981,guest,18,FALSE,FALSE,FALSE
25047,guest,0,FALSE,FALSE,FALSE
25281,guest,0,FALSE,FALSE,FALSE
25293,guest,12,FALSE,FALSE,FALSE
25332,guest,152,TRUE,TRUE,TRUE
25466,guest,2,FALSE,FALSE,FALSE
25903,guest,8,TRUE,FALSE,FALSE
25941,guest,73,TRUE,FALSE,FALSE
25958,guest,0,FALSE,FALSE,FALSE
26083,guest,100,TRUE,TRUE,TRUE
26243,guest,250,TRUE,TRUE,TRUE
26253,guest,10,FALSE,FALSE,FALSE
26466,guest,13,TRUE,FALSE,FALSE
26502,guest,147,TRUE,TRUE,TRUE
26586,guest,391,TRUE,FALSE,FALSE
27135,guest,18,FALSE,FALSE,FALSE
27163,guest,23,FALSE,FALSE,FALSE
27605,guest,19,TRUE,FALSE,FALSE
27693,guest,4,FALSE,FALSE,FALSE
27754,guest,14,FALSE,FALSE,FALSE
27759,guest,61,TRUE,TRUE,TRUE
27849,guest,61,TRUE,FALSE,FALSE
27851,guest,75,TRUE,FALSE,FALSE
27979,guest,75,FALSE,FALSE,FALSE
28025,guest,57,TRUE,FALSE,FALSE
28091,guest,35,TRUE,FALSE,FALSE
28123,guest,9,FALSE,FALSE,FALSE
28332,guest,13,FALSE,FALSE,FALSE
28405,guest,1,FALSE,FALSE,FALSE
28433,guest,20,FALSE,FALSE,FALSE
28497,guest,77,TRUE,TRUE,TRUE
29185,guest,3,FALSE,FALSE,FALSE
29311,guest,7,FALSE,FALSE,FALSE
29317,guest,6,FALSE,FALSE,FALSE
29455,guest,51,TRUE,TRUE,TRUE
29522,guest,197,FALSE,TRUE,TRUE
29658,guest,2,FALSE,FALSE,FALSE
29677,guest,22,FALSE,FALSE,FALSE
29753,guest,69,TRUE,FALSE,FALSE
29861,guest,4,FALSE,FALSE,FALSE
29999,guest,260,TRUE,TRUE,TRUE
30039,guest,20,FALSE,FALSE,FALSE
30059,guest,4,FALSE,FALSE,FALSE
30274,guest,7,TRUE,FALSE,FALSE
30277,guest,0,FALSE,FALSE,FALSE
30343,guest,8,TRUE,TRUE,TRUE
30348,guest,48,TRUE,TRUE,TRUE
30594,guest,15,TRUE,FALSE,FALSE
30631,guest,61,FALSE,TRUE,TRUE
30868,guest,1,FALSE,FALSE,FALSE
30928,guest,12,TRUE,FALSE,FALSE
31073,guest,270,TRUE,TRUE,TRUE
31151,guest,59,FALSE,FALSE,FALSE
31200,guest,141,TRUE,FALSE,FALSE
31214,guest,53,FALSE,TRUE,TRUE
31222,guest,20,FALSE,FALSE,FALSE
31638,guest,16,FALSE,FALSE,FALSE
31691,guest,0,FALSE,FALSE,FALSE
31812,guest,37,TRUE,FALSE,FALSE
31903,guest,467,TRUE,TRUE,TRUE
32292,guest,25,FALSE,FALSE,FALSE
32403,guest,2,TRUE,FALSE,FALSE
32569,guest,4,FALSE,FALSE,FALSE
32595,guest,11,TRUE,FALSE,FALSE
32642,guest,40,FALSE,FALSE,FALSE
32730,guest,9,FALSE,FALSE,FALSE
32942,guest,11,TRUE,TRUE,TRUE
33097,guest,12,FALSE,FALSE,FALSE
33126,guest,6,FALSE,FALSE,FALSE
33189,guest,9,TRUE,FALSE,FALSE
33274,guest,4,FALSE,FALSE,FALSE
33316,guest,18,TRUE,FALSE,FALSE
33445,guest,77,FALSE,TRUE,TRUE
33489,guest,4,FALSE,FALSE,FALSE
33639,guest,45,TRUE,FALSE,FALSE
33703,guest,43,TRUE,FALSE,FALSE
33794,guest,3,FALSE,FALSE,FALSE
33954,guest,30,TRUE,FALSE,FALSE
33967,guest,33,TRUE,TRUE,TRUE
34016,guest,47,TRUE,FALSE,FALSE
34022,guest,72,FALSE,TRUE,TRUE
34027,guest,16,FALSE,FALSE,FALSE
34076,guest,2,FALSE,FALSE,FALSE
34447,guest,93,TRUE,TRUE,TRUE
34469,guest,222,TRUE,TRUE,TRUE
34597,guest,334,TRUE,TRUE,TRUE
34647,guest,8,FALSE,FALSE,FALSE
34706,guest,29,TRUE,FALSE,FALSE
34842,guest,27,TRUE,FALSE,FALSE
34859,guest,16,FALSE,FALSE,FALSE
34906,guest,10,TRUE,FALSE,FALSE
34942,guest,8,FALSE,FALSE,FALSE
35027,guest,58,TRUE,FALSE,FALSE
35056,guest,84,TRUE,FALSE,FALSE
35156,guest,1,FALSE,FALSE,FALSE
35458,guest,56,FALSE,FALSE,FALSE
35460,guest,43,TRUE,FALSE,FALSE
35730,guest,50,TRUE,FALSE,FALSE
35837,guest,23,TRUE,FALSE,FALSE
35886,guest,5,FALSE,FALSE,FALSE
35922,guest,21,TRUE,FALSE,FALSE
36003,guest,48,TRUE,FALSE,FALSE
36047,guest,85,TRUE,TRUE,TRUE
36077,guest,13,TRUE,FALSE,FALSE
36279,guest,41,TRUE,FALSE,FALSE
36280,guest,5,FALSE,FALSE,FALSE
36298,guest,1,FALSE,FALSE,FALSE
36356,guest,303,TRUE,TRUE,TRUE
36513,guest,18,TRUE,FALSE,FALSE
36560,guest,48,TRUE,FALSE,FALSE
36622,guest,4,TRUE,FALSE,FALSE
36664,guest,51,FALSE,TRUE,TRUE
36673,guest,5,FALSE,FALSE,FALSE
36761,guest,134,TRUE,TRUE,TRUE
36887,guest,11,TRUE,FALSE,FALSE
36921,guest,3,FALSE,FALSE,FALSE
36997,guest,9,TRUE,FALSE,FALSE
37155,guest,3,FALSE,FALSE,FALSE
37303,guest,177,TRUE,TRUE,TRUE
37366,guest,11,TRUE,FALSE,FALSE
37461,guest,20,FALSE,TRUE,TRUE
37740,guest,39,TRUE,TRUE,TRUE
37823,guest,12,TRUE,FALSE,FALSE
37872,guest,12,TRUE,FALSE,FALSE
37994,guest,2,FALSE,FALSE,FALSE
38151,guest,9,TRUE,FALSE,FALSE
38232,guest,216,TRUE,TRUE,TRUE
38249,guest,30,TRUE,FALSE,FALSE
38292,guest,9,FALSE,FALSE,FALSE
39069,guest,227,FALSE,FALSE,FALSE
39382,guest,0,FALSE,FALSE,FALSE
39494,guest,87,TRUE,FALSE,FALSE
39531,guest,71,TRUE,FALSE,FALSE
39774,guest,567,TRUE,TRUE,TRUE
39902,guest,13,TRUE,FALSE,FALSE
39932,guest,55,TRUE,TRUE,TRUE
39993,guest,14,FALSE,FALSE,FALSE
40233,guest,78,TRUE,FALSE,FALSE
40292,guest,1,FALSE,FALSE,FALSE
40359,guest,3,FALSE,FALSE,FALSE
40378,guest,552,TRUE,TRUE,TRUE
40427,guest,96,TRUE,FALSE,FALSE
40566,guest,2,FALSE,FALSE,FALSE
40593,guest,12,TRUE,TRUE,TRUE
40630,guest,99,TRUE,FALSE,FALSE
40653,guest,107,TRUE,FALSE,FALSE
40687,guest,12,FALSE,FALSE,FALSE
40749,guest,2,FALSE,FALSE,FALSE
40812,guest,2,FALSE,FALSE,FALSE
41112,guest,4,FALSE,FALSE,FALSE
41192,guest,28,FALSE,FALSE,FALSE
41378,guest,9,FALSE,FALSE,FALSE
41795,guest,136,TRUE,TRUE,TRUE
41842,guest,15,FALSE,FALSE,FALSE
41934,guest,8,FALSE,FALSE,FALSE
41988,guest,1,FALSE,FALSE,FALSE
42077,guest,12,TRUE,FALSE,FALSE
42316,guest,6,FALSE,FALSE,FALSE
42407,guest,45,FALSE,TRUE,TRUE
42457,guest,12,FALSE,FALSE,FALSE
42688,guest,13,FALSE,FALSE,FALSE
42703,guest,9,TRUE,FALSE,FALSE
42758,guest,11,TRUE,FALSE,FALSE
42994,guest,113,TRUE,TRUE,TRUE
43091,guest,6,TRUE,FALSE,FALSE
43368,guest,32,FALSE,FALSE,FALSE
43644,guest,17,TRUE,FALSE,FALSE
43744,guest,141,TRUE,FALSE,FALSE
43757,guest,28,FALSE,FALSE,FALSE
44400,guest,95,TRUE,FALSE,FALSE
44493,guest,339,TRUE,TRUE,TRUE
44498,guest,24,TRUE,FALSE,FALSE
44591,guest,5,FALSE,FALSE,FALSE
44670,guest,6,FALSE,FALSE,FALSE
44751,guest,10,FALSE,FALSE,FALSE
44780,guest,9,FALSE,FALSE,FALSE
44910,guest,6,FALSE,FALSE,FALSE
45066,guest,85,TRUE,FALSE,FALSE
45083,guest,54,FALSE,FALSE,FALSE
45167,guest,19,FALSE,FALSE,FALSE
45694,guest,6,TRUE,FALSE,FALSE
45698,guest,452,TRUE,TRUE,TRUE
45753,guest,26,TRUE,FALSE,FALSE
45813,guest,12,TRUE,FALSE,FALSE
45895,guest,2,TRUE,FALSE,FALSE
45896,guest,11,TRUE,FALSE,FALSE
45952,guest,3,FALSE,FALSE,FALSE
46007,guest,6,FALSE,FALSE,FALSE
46022,guest,7,FALSE,FALSE,FALSE
46347,guest,57,FALSE,FALSE,FALSE
46472,guest,16,FALSE,FALSE,FALSE
46576,guest,15,FALSE,FALSE,FALSE
46624,guest,148,TRUE,TRUE,TRUE
46629,guest,57,TRUE,FALSE,FALSE
46746,guest,3,TRUE,FALSE,FALSE
46806,guest,163,TRUE,TRUE,TRUE
46919,guest,47,TRUE,FALSE,FALSE
46938,guest,54,FALSE,FALSE,FALSE
47377,guest,2,FALSE,FALSE,FALSE
47816,guest,220,TRUE,TRUE,TRUE
47822,guest,63,TRUE,TRUE,TRUE
47990,guest,25,TRUE,FALSE,FALSE
48016,guest,0,FALSE,FALSE,FALSE
48116,guest,1,FALSE,FALSE,FALSE
48130,guest,2,FALSE,FALSE,FALSE
48201,guest,84,TRUE,TRUE,TRUE
48631,guest,60,FALSE,FALSE,FALSE
48658,guest,216,TRUE,TRUE,TRUE
48677,guest,17,TRUE,FALSE,FALSE
48942,guest,290,TRUE,TRUE,TRUE
48990,guest,3,FALSE,FALSE,FALSE
49147,guest,24,TRUE,FALSE,FALSE
49311,guest,5,FALSE,FALSE,FALSE
49330,guest,18,FALSE,FALSE,FALSE
49373,guest,5,FALSE,FALSE,FALSE
49600,guest,20,FALSE,FALSE,FALSE
49811,guest,9,TRUE,FALSE,FALSE
49995,guest,15,TRUE,FALSE,FALSE
50011,guest,4,FALSE,FALSE,FALSE
50158,guest,87,TRUE,TRUE,TRUE
50237,guest,86,TRUE,FALSE,FALSE
50339,guest,0,FALSE,FALSE,FALSE
50386,guest,4,FALSE,FALSE,FALSE
50547,guest,356,FALSE,FALSE,FALSE
50665,guest,10,TRUE,FALSE,FALSE
50686,guest,3,FALSE,TRUE,TRUE
50688,guest,0,FALSE,FALSE,FALSE
50794,guest,0,FALSE,FALSE,FALSE
50811,guest,3,FALSE,FALSE,FALSE
50850,guest,34,TRUE,TRUE,TRUE
51155,guest,34,FALSE,FALSE,FALSE
51267,guest,0,FALSE,FALSE,FALSE
51295,guest,117,TRUE,TRUE,TRUE
51310,guest,23,FALSE,TRUE,TRUE
51430,guest,34,TRUE,FALSE,FALSE
51636,guest,8,FALSE,FALSE,FALSE
51641,guest,20,TRUE,FALSE,FALSE
51823,guest,54,TRUE,TRUE,TRUE
51894,guest,4,FALSE,FALSE,FALSE
51970,guest,76,FALSE,TRUE,TRUE
52100,guest,55,TRUE,FALSE,FALSE
52177,guest,3,FALSE,FALSE,FALSE
52271,guest,2,FALSE,FALSE,FALSE
52357,guest,22,TRUE,FALSE,FALSE
52420,guest,15,TRUE,TRUE,TRUE
52636,guest,3,FALSE,FALSE,FALSE
53149,guest,4,FALSE,FALSE,FALSE
53373,guest,298,TRUE,TRUE,TRUE
53393,guest,338,TRUE,TRUE,TRUE
53450,guest,1,FALSE,FALSE,FALSE
53464,guest,12,FALSE,FALSE,FALSE
53470,guest,7,FALSE,FALSE,FALSE
53597,guest,5,FALSE,FALSE,FALSE
53638,guest,16,FALSE,FALSE,FALSE
53763,guest,9,TRUE,FALSE,FALSE
53935,guest,4,FALSE,FALSE,FALSE
53996,guest,115,TRUE,TRUE,TRUE
54069,guest,170,TRUE,TRUE,TRUE
54162,guest,174,TRUE,TRUE,TRUE
54178,guest,21,FALSE,FALSE,FALSE
54244,guest,4,FALSE,FALSE,FALSE
54256,guest,6,FALSE,FALSE,FALSE
54403,guest,6,FALSE,FALSE,FALSE
54580,guest,22,FALSE,FALSE,FALSE
54617,guest,12,FALSE,FALSE,FALSE
54680,guest,2,FALSE,FALSE,FALSE
54681,guest,2,FALSE,FALSE,FALSE
54754,guest,70,TRUE,FALSE,FALSE
54776,guest,0,FALSE,FALSE,FALSE
54975,guest,3,FALSE,FALSE,FALSE
55139,guest,25,FALSE,FALSE,FALSE
55213,guest,141,TRUE,TRUE,TRUE
55250,guest,47,TRUE,TRUE,TRUE
55480,guest,1,FALSE,FALSE,FALSE
55621,guest,32,FALSE,FALSE,FALSE
56116,guest,3,FALSE,FALSE,FALSE
56237,guest,10,FALSE,FALSE,FALSE
56269,guest,2,FALSE,FALSE,FALSE
56294,guest,2,TRUE,FALSE,FALSE
56446,guest,15,FALSE,FALSE,FALSE
56496,guest,543,TRUE,TRUE,TRUE
56522,guest,10,FALSE,FALSE,FALSE
56587,guest,54,TRUE,FALSE,FALSE
56815,guest,202,TRUE,TRUE,TRUE
56895,guest,2,FALSE,FALSE,FALSE
56997,guest,41,FALSE,FALSE,FALSE
57149,guest,15,FALSE,FALSE,FALSE
57321,guest,54,FALSE,FALSE,FALSE
57334,guest,5,TRUE,FALSE,FALSE
57339,guest,22,TRUE,FALSE,FALSE
57369,guest,399,TRUE,TRUE,TRUE
57401,guest,13,TRUE,FALSE,FALSE
57429,guest,29,TRUE,FALSE,FALSE
57516,guest,38,TRUE,TRUE,TRUE
57833,guest,0,FALSE,FALSE,FALSE
58180,guest,19,TRUE,FALSE,FALSE
58189,guest,23,FALSE,FALSE,FALSE
58289,guest,237,TRUE,TRUE,TRUE
58394,guest,25,TRUE,FALSE,FALSE
58592,guest,85,TRUE,FALSE,FALSE
58700,guest,0,FALSE,FALSE,FALSE
58768,guest,11,FALSE,FALSE,FALSE
58813,guest,1,FALSE,FALSE,FALSE
59164,guest,7,TRUE,FALSE,FALSE
59395,guest,33,TRUE,TRUE,TRUE
59531,guest,18,FALSE,FALSE,FALSE
60035,guest,14,FALSE,FALSE,FALSE
60103,guest,18,FALSE,FALSE,FALSE
60160,guest,11,TRUE,FALSE,FALSE
60410,guest,26,TRUE,FALSE,FALSE
60424,guest,6,FALSE,FALSE,FALSE
60619,guest,65,TRUE,FALSE,FALSE
60929,guest,16,TRUE,FALSE,FALSE
60956,guest,17,FALSE,FALSE,FALSE
60984,guest,139,FALSE,TRUE,TRUE
61104,guest,0,FALSE,FALSE,FALSE
61245,guest,24,TRUE,FALSE,FALSE
61462,guest,23,FALSE,FALSE,FALSE
61563,guest,7,FALSE,FALSE,FALSE
61595,guest,29,FALSE,FALSE,FALSE
61609,guest,4,FALSE,FALSE,FALSE
61651,guest,3,FALSE,FALSE,FALSE
61952,guest,19,FALSE,FALSE,FALSE
61979,guest,2,FALSE,FALSE,FALSE
62084,guest,12,FALSE,FALSE,FALSE
62145,guest,1,FALSE,FALSE,FALSE
62206,guest,0,FALSE,FALSE,FALSE
62434,guest,6,FALSE,FALSE,FALSE
62437,guest,5,FALSE,FALSE,FALSE
62566,guest,67,TRUE,FALSE,FALSE
62700,guest,36,TRUE,TRUE,TRUE
62704,guest,2,FALSE,FALSE,FALSE
62879,guest,1,FALSE,FALSE,FALSE
63001,guest,33,TRUE,FALSE,FALSE
63335,guest,9,TRUE,FALSE,FALSE
63370,guest,179,TRUE,TRUE,TRUE
63473,guest,1,FALSE,FALSE,FALSE
63478,guest,202,TRUE,TRUE,TRUE
63480,guest,9,TRUE,FALSE,FALSE
63555,guest,43,FALSE,FALSE,FALSE
63617,guest,902,TRUE,TRUE,TRUE
63766,guest,6,FALSE,FALSE,FALSE
63786,guest,22,FALSE,FALSE,FALSE
63832,guest,1,FALSE,FALSE,FALSE
63889,guest,9,TRUE,TRUE,TRUE
